datetime open high low close turnover/amount(index)
1997-12-16 1170.46 1174.81 1165.59 1174.80 3758268400
1997-12-17 1169.64 1169.74 1145.89 1146.52 3647475000
1997-12-18 1142.09 1159.10 1138.40 1154.17 3185970700
1997-12-19 1154.70 1161.88 1151.14 1160.77 3346951300
1997-12-22 1162.68 1169.03 1153.44 1169.01 4923252300
1997-12-23 1171.90 1176.92 1165.06 1171.25 3795481300
1997-12-24 1171.73 1173.54 1164.85 1169.66 3355946000
1997-12-25 1170.56 1181.48 1169.99 1181.28 4117566300
1997-12-26 1187.75 1194.24 1186.53 1191.92 4857847400
1997-12-29 1196.30 1198.97 1185.66 1186.60 3902572200
1997-12-30 1186.14 1193.61 1179.56 1181.14 2955963800
1997-12-31 1182.25 1195.05 1182.25 1194.09 3585277000
1998-01-05 1200.95 1220.49 1200.22 1220.47 5363527500
1998-01-06 1223.73 1233.64 1215.41 1233.61 6196189000
1998-01-07 1233.96 1244.09 1231.15 1244.07 6276869400
1998-01-08 1243.11 1250.01 1235.89 1237.16 4535351100
1998-01-09 1233.70 1245.00 1221.30 1239.90 6395907400
1998-01-12 1242.21 1246.65 1226.40 1226.97 6646772000
1998-01-13 1211.88 1211.88 1110.08 1167.65 8983543900
1998-01-14 1170.34 1203.25 1170.32 1202.21 6237845400
1998-01-15 1210.42 1217.85 1196.15 1215.43 5643742200
1998-01-16 1215.82 1220.97 1207.92 1213.96 4534913200
1998-01-19 1215.41 1216.99 1205.48 1213.13 3662318100
1998-01-20 1211.28 1215.57 1195.38 1203.71 3443180100
1998-01-21 1201.99 1209.69 1198.23 1200.20 2739035300
1998-01-22 1200.52 1207.45 1194.38 1204.43 4027799000
1998-01-23 1206.49 1224.11 1206.45 1222.91 3378707400
1998-02-09 1257.99 1262.61 1244.43 1248.04 4617527300
1998-02-10 1248.59 1248.59 1233.70 1236.51 4834391800
1998-02-11 1234.18 1251.45 1233.53 1250.24 4262613800
1998-02-12 1253.39 1254.41 1242.00 1246.30 4545818300
1998-02-13 1246.73 1251.91 1241.82 1245.91 4452571300
1998-02-16 1246.80 1247.96 1230.92 1236.24 4970755900
1998-02-17 1234.83 1240.58 1228.10 1238.50 3717914700
1998-02-18 1239.63 1240.18 1225.50 1229.83 4675451200
1998-02-19 1229.81 1235.49 1223.93 1232.58 3345370600
1998-02-20 1234.59 1237.92 1224.58 1226.02 3200611800
1998-02-23 1217.85 1217.85 1195.89 1208.59 3921520600
1998-02-24 1206.93 1216.34 1206.08 1208.22 3246038000
1998-02-25 1208.52 1209.49 1191.75 1194.67 3325572700
1998-02-26 1193.00 1206.67 1189.52 1206.67 3223861000
1998-02-27 1209.44 1213.73 1202.86 1206.53 3607948300
1998-03-02 1196.74 1205.75 1182.60 1188.31 4824057500
1998-03-03 1186.52 1201.80 1185.30 1201.79 3497563800
1998-03-04 1204.94 1214.00 1201.25 1213.25 4065636000
1998-03-05 1217.84 1219.28 1206.36 1207.54 3570224500
1998-03-06 1208.75 1208.98 1202.11 1206.45 3304971600
1998-03-09 1207.96 1208.61 1197.57 1200.83 3486186300
1998-03-10 1199.63 1205.83 1186.55 1199.83 3271175300
1998-03-11 1201.26 1210.53 1187.44 1190.04 4330453600
1998-03-12 1187.54 1188.28 1175.55 1178.97 2586090600
1998-03-13 1177.82 1184.96 1176.01 1184.96 2449195600
1998-03-16 1186.19 1188.61 1179.44 1188.48 3361364400
1998-03-17 1193.67 1202.83 1193.24 1202.83 4211386200
1998-03-18 1204.09 1204.74 1191.91 1193.91 4012765100
1998-03-19 1192.40 1195.83 1184.86 1188.71 3477551200
1998-03-20 1188.59 1192.32 1183.25 1187.50 2931556100
1998-03-23 1186.56 1186.85 1178.04 1179.86 3843850600
1998-03-24 1180.08 1194.06 1179.97 1194.02 3649985500
1998-03-25 1207.61 1209.77 1188.84 1191.55 4565068100
1998-03-26 1191.00 1193.82 1186.22 1188.86 4470460500
1998-03-27 1189.41 1223.93 1188.85 1223.57 7179516400
1998-03-30 1230.94 1249.44 1228.30 1249.43 7862277900
1998-03-31 1251.33 1252.24 1238.64 1243.02 6380874700
1998-04-01 1243.36 1255.01 1240.06 1254.96 6704315000
1998-04-02 1259.58 1285.03 1259.58 1269.02 10971261300
1998-04-03 1268.57 1286.10 1266.03 1286.08 8314567100
